,SiO2,Al2O3,Fe2O3,CaO,MgO,K2O,Na2O,TiO2,MnO,P2O5,Ig.Loss,cat,depth(m),porosity,permeability,sum,ALK,CIA,CWI,STI,SOC,Wp,WPI
0,52.86,15.69,8.09,8.42,5.96,1.48,3.71,1.16,0.17,0.22,1.87,화강편마암,4.8,19.0,4.58e-22,99.63,28.51637764932563,53.54948805460751,26.909565391950217,0.7295253772406642,23.78,5169.079365079365,18.17808359864435
1,50.83,15.85,7.36,10.12,6.68,2.22,2.7,1.12,0.16,0.21,2.28,화강편마암,21.3,9.0,3.9999999999999997e-22,99.53,45.121951219512205,51.31110391712529,26.735657590676183,0.7233345328223654,23.21,5506.793650793651,20.06606110652353
2,67.52,15.97,2.96,2.87,0.99,3.19,4.66,0.36,0.11,0.14,0.85,화강편마암,83.3,8.0,3.9999999999999997e-22,99.61999999999998,40.63694267515924,59.83514424878231,20.21682393093757,0.7942403099490477,18.93,5734.857142857143,11.023142509135203
3,52.44,15.7,8.63,8.29,6.51,1.35,3.61,1.23,0.18,0.23,1.34,화강편마암,141.0,12.0,3.9999999999999997e-22,99.51000000000002,27.217741935483875,54.2314335060449,27.032459049341767,0.7258296576423575,24.33,5050.476190476191,18.842062193126022
4,74.07,13.66,1.04,0.91,0.24,4.62,3.84,0.11,0.03,0.02,1.03,화강편마암,145.2,28.000000000000004,3.9999999999999997e-22,99.57,54.60992907801418,59.31393834129396,15.908406146429646,0.8385935147585306,14.7,6046.952380952381,8.711544319220229
5,67.52,15.31,1.95,1.88,0.49,4.44,5.46,0.26,0.05,0.1,2.18,화강편마암,204.5,90.0,3.9999999999999997e-22,99.63999999999999,44.84848484848485,56.51531930601698,19.771176234444006,0.8040330330388723,17.26,6995.015873015874,10.368924057136987
6,52.02,16.39,7.47,9.23,7.14,1.44,3.37,1.01,0.15,0.24,1.13,화강편마암,262.4,34.0,3.9999999999999997e-22,99.59,29.937629937629932,53.861321064738746,26.10703885932322,0.7263777942733908,23.86,5189.619047619049,20.444580401753846
7,75.21,13.42,0.4,0.62,0.06,5.65,3.65,0.05,0.06,0.01,0.5,화강편마암,319.6,102.0,3.17e-18,99.63000000000002,60.752688172043015,57.497857754927175,14.42336645588678,0.8459095400163815,13.82,6700.952380952382,9.569957601453662
8,62.97,16.81,4.29,3.28,1.23,3.2,5.23,0.46,0.09,0.27,1.74,화강편마암,321.5,22.0,3.9999999999999997e-22,99.57000000000001,37.95966785290629,58.941093969144454,23.4006226775133,0.7726081479167457,21.099999999999998,6153.809523809524,11.490715091823123
9,57.5,17.78,5.87,6.08,3.12,1.43,4.55,0.87,0.12,0.26,1.92,화강편마암,379.8,8.0,3.9999999999999997e-22,99.50000000000003,23.91304347826087,59.584450402144775,26.572864321608037,0.7362963605274571,23.650000000000002,4959.238095238095,13.641975308641973
10,73.16,13.38,1.17,1.06,0.21,5.48,3.44,0.18,0.03,0.07,1.39,화강편마암,443.4,54.0,3.62e-18,99.57,61.43497757847535,57.277397260273965,16.189615345987747,0.8358829587199442,14.55,6524.476190476192,8.972267536704733
11,54.22,16.84,7.72,6.25,4.42,2.26,4.3,1.12,0.17,0.23,2.01,화강편마암,503.1,34.0,3.51e-19,99.54000000000002,34.45121951219512,56.79595278246205,27.817962628089205,0.7261664124866946,24.56,5649.111111111111,15.669720992484296
12,58.49,16.6,6.47,4.8,3.35,1.88,4.77,0.94,0.17,0.21,1.89,화강편마암,569.5,20.0,6.41e-20,99.56999999999998,28.270676691729324,59.180035650623886,26.011850959124246,0.7460260845659223,23.07,5287.650793650793,13.268242548818089
13,40.8,5.36,2.61,26.9,0.77,0.98,0.05,0.2,0.31,0.07,22.13,화강편마암,625.6,59.0,2.17e-21,100.17999999999998,95.14563106796116,16.10093121057375,30.245557995607907,0.8556618420393649,7.970000000000001,4740.984126984127,8.458864426419467
14,57.13,17.75,7.94,1.71,1.51,2.81,5.07,1.41,0.06,0.51,3.78,화강편마암,685.0,130.0,3.31e-19,99.67999999999999,35.659898477157356,64.92318946598391,30.97913322632424,0.7193563927187953,25.69,5557.20634920635,7.678590160495124
15,73.47,10.82,1.63,3.53,0.24,2.61,3.4,0.3,0.05,0.01,3.48,화강편마암,690.1,,3.8e-19,99.53999999999999,43.427620632279535,53.1434184675835,16.305003013863775,0.8510656930805641,12.45,4561.809523809524,6.5625
16,72.25,13.92,1.58,1.35,0.25,4.02,3.87,0.21,0.03,0.05,2.0,화강편마암,743.2,73.0,4.520000000000001e-19,99.52999999999999,50.95057034220532,60.10362694300518,17.793630061288056,0.827985535692366,15.5,5648.063492063493,7.6859928168291445
17,62.48,14.58,3.02,6.4,1.0,4.12,0.3,0.55,0.07,0.17,7.75,화강편마암,763.25,114.99999999999999,7.07e-19,100.44,93.21266968325791,57.4015748031496,25.786539227399448,0.786734039278735,17.6,4492.825396825397,4.402379664683613
18,57.61,16.1,5.0,6.32,2.65,2.83,4.93,0.68,0.15,0.15,3.1,화강편마암,822.3,50.0,2.72e-20,99.52000000000001,36.46907216494846,53.346587143803845,25.0,0.7566005479376964,21.1,6278.444444444444,14.180191427382436
19,64.54,16.16,1.49,7.04,0.64,1.15,5.75,0.37,0.05,0.13,2.32,화강편마암,882.7,72.0,3.6e-18,99.64,16.666666666666664,53.68770764119601,20.41348855881172,0.7853711144903154,17.65,5282.539682539683,12.62095943998353
20,71.71,12.84,3.08,2.76,1.61,2.65,2.76,0.48,0.04,0.11,1.57,화강편마암,944.9,46.0,3.11e-19,99.61000000000001,48.98336414048059,61.11375535459306,18.040357393835958,0.8220725136575138,15.92,4270.31746031746,8.386964960670138
21,71.5,15.22,1.91,3.09,0.58,2.66,3.59,0.26,0.04,0.09,0.62,화강암,30.3,32.0,5.95e-21,99.56000000000002,42.56,61.97068403908794,18.089594214543993,0.8130412342943621,17.13,4685.3015873015875,9.412002833721283
22,70.75,15.28,1.83,2.87,0.53,3.44,3.31,0.25,0.04,0.09,1.1,화강암,77.9,33.0,5.35e-20,99.49000000000001,50.96296296296296,61.365461847389554,18.554628605890038,0.8114689858529248,17.11,5112.31746031746,9.210258497862814
23,70.74,15.4,2.02,3.19,0.58,2.74,3.5,0.27,0.04,0.1,0.95,화강암,131.0,21.0,3.510000000000001e-21,99.52999999999999,43.91025641025641,62.02174788562223,18.7280217019994,0.8095651205902727,17.42,4712.158730158731,9.203575782202359
24,71.05,15.11,1.98,2.91,0.56,2.98,3.51,0.25,0.04,0.1,1.11,화강암,191.9,19.0,3.9999999999999997e-22,99.60000000000001,45.91679506933744,61.64830681354548,18.524096385542165,0.8135290068860442,17.09,4867.650793650794,8.998474834773768
25,70.81,15.08,1.89,2.8,0.56,3.6,3.35,0.26,0.05,0.09,1.02,화강암,227.2,34.0,6.45e-21,99.50999999999999,51.798561151079134,60.73298429319372,18.33986534016682,0.8128722218813522,16.97,5256.507936507937,9.445856634468736
26,72.34,14.94,1.5,2.11,0.27,3.53,3.86,0.15,0.05,0.04,0.78,화강암,255.5,38.0,1.3900000000000001e-21,99.57000000000001,47.767253044654936,61.129296235679206,17.44501355830069,0.8219865590134332,16.439999999999998,5361.142857142857,9.108409321175278
